"iso3"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"SXM"		"Sint Maarten (Dutch part)"	1253072625.7		38825	42310		
"SYC"	22.82327028	"Seychelles"	1415998663.05	1200634489.35	93419	98462	12193.8868736162	0
"SYR"		"Syrian Arab Republic"	17622064891.81		17997411	17500657		
"TCA"		"Turks and Caicos Islands"	942070000	924583000	35979	38718	23879.9266491038	1
"TCD"	330.9980782	"Chad"	10950392219.91	10715396135.42	14110971	16425859	652.349209585934	0
"TGO"	113.9494295	"Togo"	4180866177.04	7574636978.66	7323162	8278737	914.950792453003	0
"THA"	6604.525525	"Thailand"	401296437425	499681757030.97	68714519	69799978	7158.76668372259	0
"TJK"	81.7067756	"Tajikistan"	8271454300.6	8133996647.9	8454019	9537642	852.830987774546	0
"TKM"		"Turkmenistan"	35799714285.71		5565283	6031187		
"TLS"	39.222	"Timor-Leste"	1594410900	1902156800	1196294	1318442	1442.73073825015	0
"TON"		"Tonga"	437006227.16	488829964.07	100780	105697	4624.82344882069	0
"TTO"	207.6804743	"Trinidad and Tobago"	25191551350.42	21392536137.77	1370332	1399491	15285.9404867698	1
"TUN"	1250.45438	"Tunisia"	45780128466.56	42514151614.28	11179951	11818618	3597.21852540458	0
"TUR"	15478.85094	"Turkiye"	864316670330.88	719954821683.31	78529413	84339067	8536.43331960632	0
"TUV"		"Tuvalu"	36811659.53	55054710.62	11099	11792	4668.81874321574	0
"TWN"	12958.45272							
"TZA"	742.3418442	"Tanzania"	47378599025.3	62409709110.95	51482638	59734213	1044.79001189737	0
"UGA"	1066.564383	"Uganda"	32387183844.67	37600368180.94	38225447	45741000	822.027681531667	0
"UKR"	5942.781068	"Ukraine"	91030959454.7	156617861448.58	45154036	44132049	3548.84635990004	0
"UNK"	79.60974456							
"URY"	1257.92438	"Uruguay"	53274304222.14	53560755046.57	3412013	3473727	15418.8153089088	1
"USA"	800672.2	"United States"	18206020741000	20893743833000	320738994	331501080	63027.6795267153	1
"UZB"		"Uzbekistan"	86196265191.66	59894305352.9	31298900	34232050	1749.65581532219	0
"VCT"		"St. Vincent and the Grenadines"	786554580.8	872134546.8	109135	110947	7860.82135434036	0
"VEN"		"Venezuela, RB"			30081827	28435943		
"VGB"		"British Virgin Islands"			29148	30237		
"VIR"		"Virgin Islands (U.S.)"	3.663e+09	4.204e+09	107712	106290	39552.1685953523	1
"VNM"		"Vietnam"	239257234710.76	343242570827.35	92677082	97338583	3526.27457939623	0
"VUT"		"Vanuatu"	730870581.67	896827873.11	271128	307150	2919.83679996744	0
"WSM"		"Samoa"	788307314.85	807147527.62	193510	198410	4068.07886507737	0
"XKX"		"Kosovo"	6295820481.53	7716925356.13	1788196	1790133	4310.81118337576	0
"YEM"		"Yemen, Rep."	42444495590.11	18840511908.25	26497881	29825968	631.681490044179	0
"YUG"								
"ZAF"	3265.555631	"South Africa"	346709790458.56	335442101366.42	55386369	59308690	5655.86765390401	0
"ZAM"	282.5779959							
"ZMB"		"Zambia"	21251216798.78	18110631358.31	15879370	18383956	985.132436038794	0
"ZWE"	65.80055402	"Zimbabwe"	19963120600	18051170798.94	13814642	14862927	1214.50982023527	0
